time,xmin,xmax,ymin,ymax,class
18.8,1555.8134765625,1765.5421142578125,501.86590576171875,622.7969970703125,side mirror
18.8,766.4420166015625,1065.103515625,325.0003967285156,419.2057800292969,reer mirror
18.8,59.42511749267578,273.22552490234375,535.7733154296875,671.4071044921875,side mirror
18.8,1112.531494140625,1212.8150634765625,567.2048950195312,641.171630859375,speed
18.84,1555.69921875,1765.587158203125,500.9854431152344,621.5758666992188,side mirror
18.84,765.71826171875,1063.6370849609375,325.0740051269531,418.9798278808594,reer mirror
18.84,58.623390197753906,272.84393310546875,535.6412353515625,671.8516845703125,side mirror
18.84,1112.25146484375,1212.1322021484375,567.193603515625,640.7486572265625,speed
18.88,1554.444580078125,1765.2861328125,500.1741943359375,620.70068359375,side mirror
18.88,765.2975463867188,1063.054443359375,325.07666015625,419.6241760253906,reer mirror
18.88,57.21839904785156,271.82745361328125,536.2466430664062,673.6268310546875,side mirror
18.88,1111.8240966796875,1211.9652099609375,566.5508422851562,641.3944702148438,speed
18.92,1553.1134033203125,1763.05517578125,498.3567810058594,618.249267578125,side mirror
18.92,760.6123046875,1067.5484619140625,324.16094970703125,419.7249755859375,reer mirror
18.92,55.994773864746094,275.63037109375,536.5343627929688,674.5794677734375,side mirror
18.92,1111.0601806640625,1211.931640625,567.5220947265625,641.6766967773438,speed
18.96,1549.8951416015625,1761.076171875,496.00360107421875,616.424560546875,side mirror
18.96,759.0018920898438,1066.3597412109375,324.4706726074219,419.08941650390625,reer mirror
18.96,53.591583251953125,269.50433349609375,536.3602905273438,675.698974609375,side mirror
18.96,1110.073974609375,1212.3348388671875,565.777587890625,639.3330078125,speed
19.0,756.5656127929688,1062.8812255859375,324.064453125,419.3835754394531,reer mirror
19.0,1549.534423828125,1759.65380859375,494.8919677734375,614.9652099609375,side mirror
19.0,50.65917205810547,268.32513427734375,536.409912109375,677.236328125,side mirror
19.0,1108.2412109375,1212.6812744140625,564.4288330078125,639.1505126953125,speed
19.04,1547.9761962890625,1758.7261962890625,493.1089782714844,614.6986083984375,side mirror
19.04,49.97248077392578,267.4747009277344,536.6763305664062,677.14453125,side mirror
19.04,755.4159545898438,1061.912353515625,323.7946472167969,418.9353332519531,reer mirror
19.04,1107.814697265625,1212.0518798828125,563.5818481445312,638.0345458984375,speed
19.080000000000002,1549.2930908203125,1758.9239501953125,493.7677917480469,614.9707641601562,side mirror
19.080000000000002,50.330543518066406,268.14935302734375,537.0733032226562,677.05029296875,side mirror
19.080000000000002,755.9916381835938,1061.6458740234375,323.7849426269531,418.9426574707031,reer mirror
19.080000000000002,1108.3883056640625,1214.1441650390625,564.7952270507812,639.41015625,speed
19.12,1549.50146484375,1760.12109375,494.9535827636719,615.318603515625,side mirror
19.12,756.654052734375,1064.958251953125,324.041748046875,418.9922790527344,reer mirror
19.12,52.511558532714844,269.2698059082031,536.7216796875,676.4267578125,side mirror
19.12,1108.69775390625,1212.3900146484375,565.721923828125,640.2388916015625,speed
19.16,1551.377197265625,1761.725830078125,496.2677307128906,615.6495361328125,side mirror
19.16,757.6539306640625,1065.002685546875,324.0548400878906,418.798828125,reer mirror
19.16,54.33080291748047,270.37298583984375,536.7698364257812,675.6747436523438,side mirror
19.16,1110.477294921875,1213.4501953125,565.8717041015625,640.0405883789062,speed
19.2,1553.80078125,1763.054443359375,495.6219177246094,615.6383666992188,side mirror
19.2,54.945762634277344,274.7831115722656,535.5614624023438,674.6282348632812,side mirror
19.2,761.2528076171875,1060.9862060546875,324.4865417480469,419.3891906738281,reer mirror
19.2,1111.203857421875,1213.4349365234375,566.2679443359375,639.901611328125,speed
19.240000000000002,1553.2047119140625,1763.9407958984375,496.2129821777344,615.8780517578125,side mirror
19.240000000000002,54.783782958984375,275.36309814453125,534.4443969726562,674.89599609375,side mirror
19.240000000000002,761.9100341796875,1061.88330078125,324.49603271484375,418.9265441894531,reer mirror
19.240000000000002,1111.2249755859375,1213.675048828125,566.2925415039062,639.7592163085938,speed
19.28,1553.360595703125,1763.9091796875,496.7668151855469,615.61669921875,side mirror
19.28,55.65998840332031,270.66943359375,534.9739379882812,674.2592163085938,side mirror
