participant number,Scenario number,index 1,index 2,dataframe eye,start drive,end drive,initial start eye,initial end eye,lag,new start eye,new end eye,star video,end video,start in,end in,video_path
30,4.0,1120,5072,data_eye\30_4.0_22.440587211176783.pkl,2022-10-27 11:07:28.079,2022-10-27 11:08:47.264,2022-10-27 11:07:10,2022-10-27 11:13:23.902211,4.361587,2022-10-27 11:07:05.638413,2022-10-27 11:13:19.540624,22.440587211176783,101.62558721117679,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T100710Z\scenevideo.mp4
30,8.0,9961,15622,data_eye\30_8.0_199.5715872111768.pkl,2022-10-27 11:10:25.210,2022-10-27 11:12:18.640,2022-10-27 11:07:10,2022-10-27 11:13:23.902211,4.361587,2022-10-27 11:07:05.638413,2022-10-27 11:13:19.540624,199.5715872111768,313.0015872111768,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T100710Z\scenevideo.mp4
33,3,1104,5389,data_eye\33_3_22.120006501128668.pkl,2022-10-27 12:20:34.075,2022-10-27 12:21:59.935,2022-10-27 12:20:10,2022-10-27 12:24:37.359955,-1.954993,2022-10-27 12:20:11.954993,2022-10-27 12:24:39.314948,22.120006501128668,107.98000650112867,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T112010Z\scenevideo.mp4
33,5.0,8464,13185,data_eye\33_5.0_169.59200650112865.pkl,2022-10-27 12:23:01.547,2022-10-27 12:24:36.135,2022-10-27 12:20:10,2022-10-27 12:24:37.359955,-1.954993,2022-10-27 12:20:11.954993,2022-10-27 12:24:39.314948,169.59200650112865,264.1800065011287,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T112010Z\scenevideo.mp4
33,4.0,57308,57308,data_eye\33_4.0_7783.646354156478.pkl,2022-10-27 12:25:32.944,2022-10-27 12:26:44.806,2022-10-27 12:25:13,2040-07-24 04:36:26.118331,7763.702354,2022-10-27 10:15:49.297646,2040-07-24 02:27:02.415977,7783.646354156478,7855.508354156478,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T112513Z\scenevideo.mp4
33,8.0,57308,57308,data_eye\33_8.0_7911.645354156478.pkl,2022-10-27 12:27:40.943,2022-10-27 12:29:28.938,2022-10-27 12:25:13,2040-07-24 04:36:26.118331,7763.702354,2022-10-27 10:15:49.297646,2040-07-24 02:27:02.415977,7911.645354156478,8019.640354156478,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T112513Z\scenevideo.mp4
35,3,4170,8651,data_eye\35_3_83.5511479805014.pkl,2022-10-27 13:51:29.112,2022-10-27 13:52:58.890,2022-10-27 13:43:04,2022-10-27 13:50:44.881915,-421.560852,2022-10-27 13:50:05.560852,2022-10-27 13:57:46.442767,83.5511479805014,173.3291479805014,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T124304Z\scenevideo.mp4
35,5.0,9404,14940,data_eye\35_5.0_188.4271479805014.pkl,2022-10-27 13:53:13.988,2022-10-27 13:55:04.904,2022-10-27 13:43:04,2022-10-27 13:50:44.881915,-421.560852,2022-10-27 13:50:05.560852,2022-10-27 13:57:46.442767,188.4271479805014,299.3431479805014,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T124304Z\scenevideo.mp4
35,4.0,355,4533,data_eye\35_4.0_7.103678929765887.pkl,2022-10-27 13:56:44.028,2022-10-27 13:58:07.742,2022-10-27 13:56:27,2031-01-27 01:19:49.429489,-9.924321,2022-10-27 13:56:36.924321,2031-01-27 01:19:59.353810,7.103678929765887,90.81767892976589,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T125627Z\scenevideo.mp4
35,8.0,5602,11219,data_eye\35_8.0_112.23667892976589.pkl,2022-10-27 13:58:29.161,2022-10-27 14:00:21.694,2022-10-27 13:56:27,2031-01-27 01:19:49.429489,-9.924321,2022-10-27 13:56:36.924321,2031-01-27 01:19:59.353810,112.23667892976589,224.7696789297659,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T125627Z\scenevideo.mp4
